id,lat,lon,name,operator,brand
5721083669,47.4535469,8.5785075,Avia Flughafenstrasse,Avia Osterwalder Zürich,Avia
5721083673,47.455013,8.5800231,BP Schaffhauserstrasse,Oskar Bader's Erben,BP
5940499368,47.2457204,8.5325333,Migrol Tankstelle Hausen a.A.,Migrol,Migrol
6076240798,47.2484602,8.5303804,Agrola Albisstrasse,unknown,unknown
6088224395,47.288847,8.7120186,Ruedi Rüssel,unknown,Ruedi Rüssel
6180364746,47.5967675,8.6695533,Gewerbehaus 5,unknown,unknown
6223284379,47.6511794,8.6527307,Garage Bolli,Garage Bolli,unknown
6407345181,47.3536972,8.9328548,unknown,Landi Bachtel,Agrola
6480377280,47.3264264,8.7832515,El Rolbanito,El Rolbanito,unknown
6584592532,47.2638374,8.4283067,Agrola Dorfstrasse,Landi Obfelden,Agrola
6603380443,47.2155334,8.6066365,Agrola,LANDI Zimmerberg,Agrola
6611751135,47.3926384,8.475161,Scall,unknown,Independent
6680253709,47.4500535,8.7017149,BP Kemptthal Süd,BP,BP
7003233349,47.3572373,8.6422562,Avia Ebmatingen,Avia Osterwalder Zürich,Avia
7051810399,47.3891035,8.5101259,unknown,unknown,unknown
7111931002,47.2408639,8.714637,SOCAR Stäfa,SOCAR Energy Switzerland,SOCAR
7180524077,47.2646326,8.661027,unknown,unknown,Coop
7360125203,47.3214243,8.640888,unknown,Garage Marcel Wyder,Ruedi Rüssel
7403418119,47.4017851,8.4526451,Avia Industriestrasse,A.H. Meyer & Cie,Avia
7600391895,47.3064785,8.8168191,Coop Tankstelle,Coop Mineraloel,Coop
7684921023,47.2737376,8.9118883,Shell Wald ZH,Shell (Switzerland),Shell
7702297267,47.39634,8.4400249,SOCAR Schlieren,SOCAR Energy Switzerland,Socar
7702874122,47.2658346,8.7298735,SOCAR Oetwil am See,SOCAR Energy Switzerland,SOCAR
7710511664,47.5587537,8.4345861,Migrol Tankstelle Weiach,Migrol,Migrol
7914281885,47.3384962,8.5404282,Hafen Wollishofen,unknown,unknown
7923664286,47.5580273,8.498791,unknown,unknown,unknown
