web-scraper-order,address_raw,lat,lon,bfs_number,bfs_name
1662023695-433,"Sunnenbergstrasse 15, 8633 Wolfhausen, ZH",47.255714416503906,8.804975509643555,112,Bubikon
1662023720-634,"Blumenbergstrasse 7, 8633 Wolfhausen, ZH",47.254878997802734,8.793745994567871,112,Bubikon
1662023745-820,"Lavaterstr. 63, 8002 Zürich, ZH",47.36137771606445,8.53333854675293,261,Zürich
1662023739-771,"Parkring 59, 8002 Zürich, ZH",47.36689758300781,8.528817176818848,261,Zürich
1662023720-640,"Flobotstrasse 2, 8044 Zürich, ZH",47.37957763671875,8.570284843444824,261,Zürich
1662023686-384,"Hinterbergstrasse 57, 8044 Zürich, ZH",47.382015228271484,8.556857109069824,261,Zürich
1662023789-1164,"Nansenstrasse 7, 8050 Zürich, ZH",47.410762786865234,8.545214653015137,261,Zürich
1662023764-980,"Wehntalerstrasse 223, 8057 Zürich, ZH",47.40802001953125,8.529781341552734,261,Zürich
1662023767-1007,"Baumackerstrasse 47, 8050 Zürich, ZH",47.40944290161133,8.542278289794922,261,Zürich
1662023704-520,"Zwischenbächen 139, 8048 Zürich, ZH",47.380489349365234,8.4798002243042,261,Zürich
1662023698-468,"Hallwylstrasse 84, 8004 Zürich, ZH",47.369815826416016,8.526166915893555,261,Zürich
1662023789-1172,"Pfingstweidstrasse 104 E, 8005 Zürich, ZH",47.39086151123047,8.509053230285645,261,Zürich
1662023752-867,"Altwiesenstrasse 346, 8051 Zürich, ZH",47.399959564208984,8.590506553649902,261,Zürich
1662023761-945,"Badenerstrasse 250, 8004 Zürich, ZH",47.3759880065918,8.516037940979004,261,Zürich
1662023774-1056,"Schöntalstrasse 27, 8004 Zürich, ZH",47.37080764770508,8.526028633117676,261,Zürich
1662023761-941,"Am Wasser 161, 8049 Zürich, ZH",47.399436950683594,8.495816230773926,261,Zürich
1662023786-1149,"Freudenbergstrasse 94, 8044 Zürich, ZH",47.384132385253906,8.55653190612793,261,Zürich
1662023755-909,"Lavaterstr. 63, 8002 Zürich, ZH",47.36137771606445,8.53333854675293,261,Zürich
1662023714-590,"Meientalstrasse 65, 8048 Zürich, ZH",47.385841369628906,8.478418350219727,261,Zürich
1662023801-1270,"Affolternstrasse 154, 8050 Zürich, ZH",47.4113655090332,8.532044410705566,261,Zürich
1662023786-1131,"Seestrasse 361, 8038 Zürich, ZH",47.345306396484375,8.533795356750488,261,Zürich
1662023730-716,"Hohlstr. 509, 8048 Zürich, ZH",47.388973236083984,8.493876457214355,261,Zürich
1662023798-1239,"Feldblumenstrasse 10, 8048 Zürich, ZH",47.388099670410156,8.482545852661133,261,Zürich
1662023695-453,"Letzigraben 171, 8047 Zürich, ZH",47.37362289428711,8.495223999023438,261,Zürich
1662023695-436,"Fritz Fleiner-Weg 11, 8044 Zürich, ZH",47.38129806518555,8.56221866607666,261,Zürich
1662023786-1150,"Uhlandstrasse 6, 8037 Zürich, ZH",47.394466400146484,8.5289306640625,261,Zürich
1662023714-581,"Frohburgstrasse 303, 8057 Zürich, ZH",47.40309143066406,8.557792663574219,261,Zürich
1662023742-807,"Langfurrenstrasse 5c, 8623 Wetzikon ZH, ZH",47.32869338989258,8.81041145324707,121,Wetzikon (ZH)
1662023755-900,"8620 Wetzikon ZH, ZH",47.308982849121094,8.79793643951416,121,Wetzikon (ZH)
1662023793-1186,"Rosenstrasse 1, 8623 Wetzikon ZH, ZH",47.33300018310547,8.808183670043945,121,Wetzikon (ZH)
1662023804-1290,"Sandbuckweg 5A, 8157 Dielsdorf, ZH",47.47749328613281,8.456284523010254,86,Dielsdorf
1662023707-544,"Ifangweg 1, 8610 Uster, ZH",47.35888671875,8.71379566192627,198,Uster
1662023786-1135,"Unterbühlenstr. 3B, 8610 Uster, ZH",47.344234466552734,8.707965850830078,198,Uster
1662023764-971,"Ifangweg 8, 8610 Uster, ZH",47.35794448852539,8.714499473571777,198,Uster
1662023736-766,"Steigstr. 3, 8610 Uster, ZH",47.34431076049805,8.730061531066895,198,Uster
1662023793-1198,"Poststr. 3, 8610 Uster, ZH",47.34947967529297,8.718282699584961,198,Uster
1662023758-929,"Frohbergstr. 7, 8162 Steinmaur, ZH",47.48908615112305,8.448234558105469,101,Steinmaur
1662023727-685,"8306 Brüttisellen, ZH",47.41718673706055,8.635411262512207,200,Wangen-Brüttisellen
1662023733-725,"Wülflingerstrasse 48, 8400 Winterthur, ZH",47.506534576416016,8.714888572692871,230,Winterthur
1662023733-731,"St. Gallerstrasse 42d, 8400 Winterthur, ZH",47.49749755859375,8.738823890686035,230,Winterthur
1662023777-1057,"Wartstr. 28, 8400 Winterthur, ZH",47.50136184692383,8.720966339111328,230,Winterthur
1662023736-746,"Landvogt-Waser-Strasse 67, 8405 Winterthur, ZH",47.48586654663086,8.765941619873047,230,Winterthur
1662023739-784,"Wingertlistrasse 9, 8405 Winterthur, ZH",47.49017333984375,8.761757850646973,230,Winterthur
1662023739-775,"Hulfteggstrasse 16, 8400 Winterthur, ZH",47.49134826660156,8.753072738647461,230,Winterthur
1662023774-1040,"Seuzacherstr. 9a, 8400 Winterthur, ZH",47.51836013793945,8.72063159942627,230,Winterthur
1662023720-644,"Burstwiesenstr. 16, 8606 Greifensee, ZH",47.36891555786133,8.680346488952637,194,Greifensee
1662023739-782,"Bergacherstrasse 4, 8630 Rüti ZH, ZH",47.250694274902344,8.85564136505127,118,Rüti (ZH)
1662023730-707,"Walderstrasse 103, 8630 Rüti ZH, ZH",47.26651382446289,8.867326736450195,118,Rüti (ZH)
1662023707-540,"Aronenweg 9, 8618 Oetwil am See, ZH",47.276031494140625,8.718671798706055,157,Oetwil am See
1662023707-538,"Pilatusstrasse 14, 8330 Pfäffikon ZH, ZH",47.364253997802734,8.783860206604004,177,Pfäffikon
1662023711-561,"Schulstrasse 26a, 8330 Pfäffikon ZH, ZH",47.36679458618164,8.781128883361816,177,Pfäffikon
